Major,Degree Type,Early Career Pay,Mid-Career Pay,
SocialStudies,Bachelors,45800,71700,
Human Resources Development,Bachelors,48600,71600,
Speech Pathology & Audiology,Bachelors,44100,71600,
Clinical Laboratory Science,Bachelors,55100,71500,
Forensic Science,Bachelors,46000,71500,
Health Administration,Bachelors,42700,71500,
Geomatics,Bachelors,52300,71400,
Media Communication,Bachelors,47000,71400,
Health Management,Bachelors,45100,71300,
Commercial Photography,Bachelors,43800,71300,
Fashion Design & Marketing,Bachelors,45300,71100,
Mass Media,Bachelors,40300,71100,
Medical Technology,Bachelors,56500,71000,
Respiratory Therapy,Bachelors,54500,70900,
Theater,Bachelors,44600,70700,
Forensic Psychology,Bachelors,43000,70600,
Kinesiology,Bachelors,44800,70600,
Performing Arts,Bachelors,45700,70500,
Psychology & Social Behavior,Bachelors,45800,70500,
Religion,Bachelors,44400,70500,
